id,vendor_id,pickup_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag
id3159174,1,30-06-16 23:44,1,-73.86576843,40.77096939,-73.99108124,40.67784882,N
id3650870,2,30-06-16 23:43,6,-73.78777313,40.6416893,-73.70095062,40.71699142,N
id2576205,1,30-06-16 23:42,1,-73.99875641,40.73205948,-73.98360443,40.72594452,N
id3408993,2,30-06-16 23:42,2,-73.97432709,40.75054169,-73.97592163,40.73250961,N
id1969762,2,30-06-16 23:41,1,-73.9865036,40.71818161,-74.00868225,40.7406311,N
id3043563,2,30-06-16 23:41,5,-73.98974609,40.75219345,-73.99323273,40.72266769,N
id0697361,1,30-06-16 23:41,1,-73.95155334,40.72327042,-73.95610809,40.71718979,N
id0527242,1,30-06-16 23:41,1,-73.99002075,40.72946548,-73.95775604,40.71128845,N
id1890566,2,30-06-16 23:41,1,-73.98079681,40.75355911,-73.94286346,40.78744125,N
id0882843,1,30-06-16 23:41,1,-73.78794098,40.64151764,-73.96698761,40.75684738,N
id2126329,2,30-06-16 23:40,1,-73.99326324,40.74202347,-73.94268036,40.5994339,N
id3443802,2,30-06-16 23:40,1,-73.98184204,40.75533676,-73.96051025,40.76137161,N
id1114580,2,30-06-16 23:40,1,-73.98558807,40.74607849,-73.99227905,40.72460938,N
id2529811,1,30-06-16 23:40,3,-73.98989105,40.7408371,-73.99647522,40.76665878,N
id1792589,1,30-06-16 23:40,1,-73.99247742,40.75829697,-73.98078156,40.74801254,N
id0071844,1,30-06-16 23:39,1,-73.98794556,40.73799133,-73.99107361,40.71928406,N
id3468683,1,30-06-16 23:39,1,-73.99576569,40.75385666,-73.98609161,40.74340057,N
id2108605,2,30-06-16 23:39,3,-73.97751617,40.75230408,-73.99948883,40.76123047,N
id3353510,1,30-06-16 23:39,1,-73.98361969,40.7436676,-74.00488281,40.74080658,N
id1707352,1,30-06-16 23:38,1,-73.96296692,40.71914673,-73.89538574,40.69389725,N
id1650458,1,30-06-16 23:38,4,-74.00408173,40.7420578,-73.97434998,40.76384735,N
id2175910,1,30-06-16 23:38,1,-74.00976563,40.70315552,-73.99617767,40.67805481,N
id1443779,2,30-06-16 23:38,1,-73.98570251,40.72725677,-73.98067474,40.74582672,N
id2459479,1,30-06-16 23:38,3,-73.98101807,40.75327682,-73.90762329,40.77857971,N
id0358410,1,30-06-16 23:38,1,-74.00569916,40.75063705,-73.98854828,40.72284317,N
id0582396,1,30-06-16 23:37,1,-73.96756744,40.75766373,-73.99261475,40.74116898,N
id2262648,1,30-06-16 23:37,1,-73.99065399,40.73992157,-73.9723587,40.74507523,N
id2422279,1,30-06-16 23:37,1,-73.99668884,40.73752213,-73.98770142,40.75567627,N
id3993739,1,30-06-16 23:37,1,-74.00112915,40.73139954,-73.99171448,40.75892639,N
id2578671,1,30-06-16 23:37,2,-73.97959137,40.75263977,-73.9529953,40.77744675,N
id3313356,2,30-06-16 23:37,1,-73.96510315,40.76908875,-73.95265961,40.7804184,N
id0526259,2,30-06-16 23:36,1,-73.98741913,40.72182846,-73.94564819,40.71517181,N
id2384843,2,30-06-16 23:36,2,-73.99282837,40.75826645,-74.00592804,40.72478104,N
id1266405,2,30-06-16 23:36,1,-73.99687958,40.72042847,-73.99008942,40.72013855,N
id2043002,2,30-06-16 23:35,1,-73.9829483,40.76176834,-73.99364471,40.73039246,N
id1284494,2,30-06-16 23:35,1,-73.99643707,40.76350021,-73.97537231,40.75228882,N
id0226404,1,30-06-16 23:35,1,-73.95049286,40.77535629,-73.94035339,40.84798431,N
id1170300,1,30-06-16 23:34,1,-73.99991608,40.72528839,-73.91278076,40.76285934,N
id1309256,2,30-06-16 23:34,5,-73.97691345,40.72664261,-73.95589447,40.81377792,N
id3645922,2,30-06-16 23:34,1,-73.97541809,40.74975586,-73.94756317,40.78860474,N
id1595264,1,30-06-16 23:33,1,-73.97723389,40.75196457,-73.98589325,40.72682571,N
id2594446,1,30-06-16 23:33,3,-73.99732208,40.71912384,-73.99029541,40.74993515,N
id0777968,1,30-06-16 23:32,1,-74.00048828,40.72740173,-73.99996948,40.76133728,N
id0426749,1,30-06-16 23:32,4,-73.98635101,40.75575638,-73.94768524,40.7521553,N
id1300331,1,30-06-16 23:31,1,-73.96674347,40.76400375,-73.95515442,40.77251053,N
id1220261,1,30-06-16 23:31,1,-73.9715271,40.80443954,-73.94994354,40.8218956,N
id2859902,2,30-06-16 23:30,6,-74.00743866,40.74347305,-73.99487305,40.75019836,N
id2726399,2,30-06-16 23:30,1,-73.9928894,40.74279022,-73.97633362,40.7408905,N
id1653770,2,30-06-16 23:30,1,-73.9369278,40.75464249,-73.94454956,40.7123909,N
id2785851,2,30-06-16 23:30,1,-73.98351288,40.74235153,-73.97120667,40.75032043,N
id2023315,1,30-06-16 23:29,1,-73.9810791,40.74157715,-73.9726181,40.79248047,N
id0603959,2,30-06-16 23:29,1,-73.97489166,40.76158905,-73.98739624,40.74716949,N
id0521659,2,30-06-16 23:28,2,-74.00993347,40.70498657,-73.94454193,40.71158218,N
id2972142,1,30-06-16 23:28,1,-73.98255157,40.78484726,-73.96353912,40.76867294,N
id0127362,2,30-06-16 23:28,1,-73.98088837,40.7537117,-73.95298767,40.7717514,N
id0349746,1,30-06-16 23:28,1,-73.97652435,40.7515831,-73.95585632,40.76795578,N
id3125801,2,30-06-16 23:27,2,-73.9829483,40.77164841,-73.98077393,40.72490692,N
id2552900,1,30-06-16 23:27,2,-73.98899841,40.72143173,-73.98921204,40.75671387,N
id3564322,2,30-06-16 23:26,1,-73.87085724,40.7737999,-73.94586182,40.77798843,N
id2217703,1,30-06-16 23:26,1,-73.97524261,40.74137115,-73.95980072,40.76862335,N
id2125163,1,30-06-16 23:25,4,-73.9855423,40.74714661,-73.97766876,40.72598648,N
id1668771,2,30-06-16 23:25,1,-73.97981262,40.75242996,-73.96130371,40.71205902,N
id0448827,1,30-06-16 23:25,1,-73.95558929,40.77946854,-73.96390533,40.79263687,N
id0684597,1,30-06-16 23:25,1,-74.00131226,40.7363739,-73.99498749,40.74287415,N
id2485399,2,30-06-16 23:24,1,-74.00748444,40.72593307,-73.9859848,40.73093796,N
id1804505,2,30-06-16 23:24,5,-73.99072266,40.75619125,-73.93609619,40.7989006,N
id3202512,2,30-06-16 23:24,1,-73.98107147,40.75043106,-73.96385956,40.75778961,N
id3544706,1,30-06-16 23:24,1,-73.98320007,40.74456024,-73.9549942,40.76911163,N
id0976070,1,30-06-16 23:22,1,-73.985672,40.72305679,-73.97792816,40.72603607,N
id2451797,2,30-06-16 23:22,1,-73.98174286,40.74089813,-73.9564209,40.77536011,N
id0377405,1,30-06-16 23:22,1,-73.98723602,40.73300171,-73.97686768,40.72729874,N
id2195452,1,30-06-16 23:22,1,-73.95999146,40.77075195,-73.95999146,40.77075195,N
id0876799,1,30-06-16 23:21,1,-73.9757843,40.75550842,-73.97275543,40.78570175,N
id3716230,1,30-06-16 23:20,2,-73.94876862,40.77373123,-73.974823,40.75300217,N
id0392392,2,30-06-16 23:20,1,-73.96550751,40.76196671,-73.97467041,40.75286865,N
id1615256,1,30-06-16 23:20,2,-74.00222778,40.73871231,-73.97678375,40.75001526,N
id1358922,2,30-06-16 23:20,2,-73.95452118,40.7779808,-73.94299316,40.78749847,N
id2648035,2,30-06-16 23:20,1,-73.96512604,40.7595253,-73.92208862,40.76365662,N
id2678173,1,30-06-16 23:19,3,-74.00285339,40.74388123,-74.00434875,40.75190735,N
id1760464,1,30-06-16 23:19,1,-74.00495148,40.72308731,-73.95407104,40.77200699,N
id3723177,1,30-06-16 23:18,1,-73.98269653,40.76173401,-73.98119354,40.77350235,N
id2111062,2,30-06-16 23:18,2,-74.00417328,40.75183868,-73.98843384,40.7649231,N
id1353681,2,30-06-16 23:18,1,-73.94030762,40.80905151,-73.9808197,40.75067139,N
id2604302,1,30-06-16 23:18,1,-74.00039673,40.73246384,-73.99745941,40.71937561,N
id1442028,1,30-06-16 23:17,1,-73.97372437,40.74342728,-73.97654724,40.75178528,N
id3094517,1,30-06-16 23:17,2,-73.96933746,40.79799271,-73.94833374,40.80394745,N
id0130846,1,30-06-16 23:17,1,-73.99358368,40.72126389,-73.99127197,40.75011063,N
id1177771,1,30-06-16 23:17,1,-73.96193695,40.77344131,-73.96581268,40.75275803,N
id0276992,1,30-06-16 23:17,1,-74.00416565,40.74238205,-73.94896698,40.62729645,N
id3214777,1,30-06-16 23:16,2,-74.00431824,40.70733261,-73.99156952,40.69784927,N
id3613100,2,30-06-16 23:16,1,-73.96550751,40.76519012,-73.94994354,40.7820816,N
id3196583,1,30-06-16 23:16,1,-74.00281525,40.76052856,-73.99021912,40.74651718,N
id3273243,1,30-06-16 23:16,1,-73.99082947,40.74587631,-73.9216156,40.76265717,N
id0585259,1,30-06-16 23:16,2,-73.96614838,40.76473618,-73.97964478,40.78970337,N
id0562890,2,30-06-16 23:15,6,-73.95536804,40.7685318,-73.95023346,40.76153946,N
id2584115,2,30-06-16 23:15,1,-73.98252869,40.72325134,-73.94853973,40.70969009,N
id2329025,2,30-06-16 23:15,3,-73.99797058,40.71369171,-73.99098969,40.76521683,N
id0975674,1,30-06-16 23:14,1,-74.00259399,40.73408508,-73.97454071,40.75349808,N
id0139753,2,30-06-16 23:14,1,-73.99176788,40.76488876,-73.97898102,40.74451828,N
id0394293,1,30-06-16 23:14,1,-73.99984741,40.76152802,-73.98839569,40.76491928,N
id2144237,1,30-06-16 23:14,1,-73.97363281,40.75043106,-73.96338654,40.76593018,N
id0495393,2,30-06-16 23:14,2,-73.98838043,40.73156357,-73.94300842,40.70611572,N
id1671429,1,30-06-16 23:14,1,-73.98390198,40.76512146,-73.98922729,40.77679825,N
id1155279,1,30-06-16 23:14,1,-73.94009399,40.7510376,-73.98213959,40.77421951,N
id3780029,2,30-06-16 23:14,1,-73.9790802,40.74451828,-73.92253876,40.76000977,N
id3759898,1,30-06-16 23:13,1,-73.98543549,40.7579422,-73.96788788,40.71086502,N
id2068572,1,30-06-16 23:13,1,-73.98604584,40.75769424,-73.99178314,40.74920273,N
id3029354,2,30-06-16 23:13,3,-73.97569275,40.78208923,-73.98107147,40.77423859,N
id1233395,1,30-06-16 23:11,2,-74.01057434,40.7047348,-73.98042297,40.74233246,N
id1971234,2,30-06-16 23:11,5,-74.01044464,40.72013474,-73.9972229,40.73755264,N
id2146947,1,30-06-16 23:10,1,-73.98791504,40.75435638,-73.99383545,40.74621582,N
id0248956,2,30-06-16 23:10,3,-73.98340607,40.73975372,-73.92710876,40.76279068,N
id2832032,2,30-06-16 23:10,1,-73.96102142,40.76079178,-73.94972229,40.77232361,N
id3381322,1,30-06-16 23:09,1,-73.98001862,40.76556778,-73.97904205,40.77750778,N
id3174102,1,30-06-16 23:09,1,-73.99545288,40.72083282,-73.97327423,40.74382782,N
id3841591,1,30-06-16 23:09,1,-73.97977448,40.7269783,-74.00221252,40.7387085,N
id2828449,1,30-06-16 23:08,2,-73.87297821,40.77415085,-73.97454071,40.75582123,Y
id0132202,2,30-06-16 23:08,1,-73.9834137,40.74396133,-73.97818756,40.75339127,N
id2155048,2,30-06-16 23:07,1,-74.00042725,40.72742081,-74.00267792,40.72668076,N
id1478994,1,30-06-16 23:06,4,-73.77915955,40.64748764,-73.73261261,40.68151855,N
id0152661,2,30-06-16 23:06,2,-74.01293182,40.71614075,-74.01017761,40.72449112,N
id2557936,2,30-06-16 23:05,5,-73.9835434,40.76585007,-73.96231079,40.7634697,N
id1132188,2,30-06-16 23:05,2,-74.00795746,40.74040985,-73.99485779,40.72135162,N
id2600155,1,30-06-16 23:05,1,-73.93320465,40.75853348,-73.92948151,40.758564,N
id1370403,1,30-06-16 23:05,1,-73.98679352,40.76140594,-73.83649445,40.8652153,N
id1391881,1,30-06-16 23:05,2,-73.99269104,40.71865845,-73.98453522,40.72871399,N
id0469584,1,30-06-16 23:05,1,-73.98140717,40.7632103,-73.94515228,40.77856064,N
id1884057,1,30-06-16 23:05,2,-73.98838806,40.74570084,-74.01068878,40.70903015,N
id3437390,2,30-06-16 23:05,1,-73.97682953,40.78805923,-73.98203278,40.77870178,N
id2139791,2,30-06-16 23:04,1,-73.97869873,40.73455048,-73.99552917,40.67924118,N
id2824398,1,30-06-16 23:04,3,-73.98309326,40.7496109,-73.98664093,40.72967529,N
id2349329,1,30-06-16 23:04,1,-73.95868683,40.76383972,-73.99002075,40.7670784,N
id2767155,2,30-06-16 23:04,1,-73.95484924,40.7732811,-73.97315979,40.74845123,N
id2510692,1,30-06-16 23:04,1,-73.98043823,40.76461029,-73.94712067,40.8156929,N
id0572623,2,30-06-16 23:04,1,-74.00095367,40.73654175,-73.96726227,40.78808975,N
id1394395,1,30-06-16 23:03,2,-74.001091,40.73147964,-73.98932648,40.75754547,N
id1555305,2,30-06-16 23:02,1,-73.98639679,40.7321701,-73.89637756,40.70101929,N
id2420516,2,30-06-16 23:02,5,-74.00904083,40.71345139,-74.00547791,40.72016144,N
id1500597,1,30-06-16 23:02,1,-73.98105621,40.7821312,-74.01464081,40.71811295,N
id1899288,1,30-06-16 23:02,1,-74.00518799,40.72050095,-74.00524139,40.72117233,N
id1472524,1,30-06-16 23:00,1,-73.97507477,40.76519394,-73.97328949,40.76396942,N
id1993020,1,30-06-16 23:00,1,-74.01353455,40.71357727,-73.97237396,40.79491806,N
id2273329,2,30-06-16 23:00,1,-73.97763062,40.75210571,-73.96652985,40.76705551,N
id0927586,1,30-06-16 23:00,1,-73.98400116,40.76150513,-74.0039444,40.73472977,N
id3405349,2,30-06-16 22:59,1,-74.00910187,40.71696091,-73.97357941,40.76438141,N
id2695311,2,30-06-16 22:59,1,-73.99195099,40.74401093,-73.95349884,40.80688095,N
id1383806,1,30-06-16 22:58,1,-74.00764465,40.74064255,-73.96450043,40.77296066,N
id1457117,1,30-06-16 22:58,1,-73.96767426,40.75608444,-73.98360443,40.73578644,N
id2319880,1,30-06-16 22:58,1,-73.97688293,40.75166702,-73.97621918,40.74423599,N
id0012779,1,30-06-16 22:57,1,-73.78997803,40.6436348,-73.95236969,40.76703644,N
id0188228,1,30-06-16 22:57,1,-73.94870758,40.77405548,-73.95500946,40.78025818,N
id0531829,1,30-06-16 22:57,4,-73.98435211,40.73694229,-73.96224213,40.75904846,N
id2839388,2,30-06-16 22:56,1,-73.78199005,40.64468384,-73.79906464,40.66776276,N
id3588198,2,30-06-16 22:56,1,-73.9547348,40.7655983,-73.9615097,40.76272964,N
id1534831,1,30-06-16 22:56,1,-73.98747253,40.73254776,-73.98226929,40.72357941,N
id0701015,1,30-06-16 22:55,1,-73.99124146,40.72387695,-74.0056076,40.73684692,N
id3953534,2,30-06-16 22:54,2,-73.98435974,40.7430687,-73.9985733,40.7543602,N
id2307884,2,30-06-16 22:54,2,-73.87094879,40.77370834,-73.79581451,40.78183746,N
id0778023,2,30-06-16 22:54,1,-73.94766235,40.77949524,-73.94210052,40.78964233,N
id1308073,2,30-06-16 22:54,1,-74.00605774,40.73503113,-74.01075745,40.71615982,N
id0576533,1,30-06-16 22:54,1,-73.98696136,40.76589584,-73.94604492,40.78121948,N
id1349994,2,30-06-16 22:54,2,-73.97981262,40.75893784,-73.98226166,40.73985291,N
id2467928,1,30-06-16 22:53,2,-73.9797821,40.7710762,-73.97124481,40.74529266,N
id3351750,1,30-06-16 22:53,1,-73.9628067,40.77517319,-73.95694733,40.78039169,N
id3562352,2,30-06-16 22:53,3,-73.95973969,40.77944946,-73.89246368,40.74707031,N
id0428290,2,30-06-16 22:52,1,-73.97250366,40.76399994,-73.94808197,40.804039,N
id0271028,2,30-06-16 22:52,2,-73.9857254,40.72698593,-73.99105835,40.68535614,N
id3718272,2,30-06-16 22:52,2,-74.00933075,40.71477127,-73.98722076,40.72993088,N
id2509234,2,30-06-16 22:52,1,-73.98995209,40.75162125,-73.98771667,40.74649048,N
id1388591,1,30-06-16 22:51,1,-74.00540161,40.73993301,-73.97927856,40.74982834,N
id3122246,1,30-06-16 22:51,2,-73.97690582,40.74991226,-73.97434235,40.74422836,N
id1842326,1,30-06-16 22:51,1,-73.97529602,40.75217819,-73.98455811,40.72317123,N
id3529394,1,30-06-16 22:50,3,-74.00471497,40.73022842,-73.99919128,40.74448395,N
id1520129,2,30-06-16 22:50,6,-74.00505066,40.72019958,-73.9817276,40.75712967,N
id0338551,2,30-06-16 22:50,2,-73.98080444,40.7446022,-73.99813843,40.73556519,N
id1208751,1,30-06-16 22:49,2,-73.98506927,40.74791718,-73.98429108,40.75587845,N
id3406262,1,30-06-16 22:49,1,-73.9883194,40.74430084,-73.98561859,40.76210022,N
id1769589,1,30-06-16 22:49,3,-73.98905945,40.75806808,-73.99440002,40.71955872,N
id2867593,1,30-06-16 22:49,3,-73.98222351,40.74252319,-73.97412109,40.74409866,N
id0822086,2,30-06-16 22:49,1,-73.98934937,40.76293564,-74.00292969,40.76059341,N
id1309623,1,30-06-16 22:49,1,-74.00282288,40.7454071,-73.95207977,40.81311035,N
id0837556,1,30-06-16 22:48,1,-74.01366425,40.71364594,-73.96850586,40.79152298,N
id0641228,2,30-06-16 22:47,2,-73.98246765,40.7775383,-73.96366882,40.80284119,N
id3095104,2,30-06-16 22:47,1,-73.99279785,40.73723984,-73.98047638,40.74811935,N
id1193445,1,30-06-16 22:46,1,-73.97270966,40.75417709,-73.99468231,40.76083755,N
id3426325,2,30-06-16 22:46,1,-73.99195862,40.75352097,-73.97911835,40.75030899,N
id2006840,2,30-06-16 22:46,2,-73.98937225,40.73506165,-73.99884796,40.73464966,N
id0138642,1,30-06-16 22:45,1,-73.99432373,40.71923447,-73.99182892,40.72582626,N
id1913117,2,30-06-16 22:45,1,-73.98596954,40.69916153,-74.01200867,40.70159531,N
id1911604,2,30-06-16 22:44,1,-73.93403625,40.71183014,-73.92352295,40.70698166,N
id0388204,1,30-06-16 22:44,1,-73.97174072,40.75720215,-73.98904419,40.73086929,N
id0376313,2,30-06-16 22:44,3,-73.99411011,40.75111008,-73.97221375,40.78919983,N
id1789441,2,30-06-16 22:44,1,-74.01134491,40.7031517,-74.00286102,40.7391777,N
id1420079,2,30-06-16 22:44,1,-73.99315643,40.75248718,-73.97438049,40.79579544,N
id2351880,2,30-06-16 22:43,1,-73.98049927,40.75978851,-73.97779083,40.7779808,N
id1397275,2,30-06-16 22:43,1,-73.98955536,40.72039032,-73.97373199,40.74354553,N
id0390786,1,30-06-16 22:42,1,-73.97650909,40.79072952,-73.99459839,40.75046921,N
id0546256,2,30-06-16 22:42,1,-73.98928833,40.71901321,-73.98095703,40.74172592,N
id3660485,1,30-06-16 22:42,1,-73.98204803,40.77409744,-73.95608521,40.78803253,N
id0333608,2,30-06-16 22:42,5,-73.99183655,40.70140839,-73.98906708,40.69396973,N
id2182578,1,30-06-16 22:42,2,-73.98323059,40.75614929,-73.98537445,40.74720383,N
id1158338,2,30-06-16 22:41,1,-73.99233246,40.7486496,-73.99977112,40.72843933,N
id2081327,1,30-06-16 22:40,1,-73.99137115,40.72988892,-73.98402405,40.72629547,Y
id0570771,2,30-06-16 22:40,1,-73.98503876,40.75349045,-73.97647095,40.78564072,N
id1164851,1,30-06-16 22:40,2,-73.98243713,40.74597549,-73.96814728,40.75982666,N
id2301122,1,30-06-16 22:40,1,-73.97786713,40.7488327,-73.99832153,40.73208237,N
id0621806,1,30-06-16 22:39,1,-73.98043823,40.76051331,-73.98818207,40.76561356,N
id2346650,1,30-06-16 22:39,1,-73.97283936,40.79343033,-73.95511627,40.8073616,N
id2142929,2,30-06-16 22:39,1,-73.99314117,40.70248413,-74.00054932,40.65834808,N
id1571334,2,30-06-16 22:38,1,-73.99948883,40.74256516,-73.98887634,40.75854111,N
id1332117,2,30-06-16 22:38,2,-73.95285034,40.78018951,-73.94947815,40.7850914,N
id2392119,2,30-06-16 22:38,6,-73.99184418,40.74945068,-74.00577545,40.74027252,N
id3309614,1,30-06-16 22:38,1,-73.99362946,40.71539688,-73.9983139,40.74695206,N
id2690377,2,30-06-16 22:38,1,-73.9286499,40.7023468,-73.95217896,40.71767044,N
id3496031,1,30-06-16 22:37,1,-73.97731018,40.77242661,-73.98468781,40.76836014,N
id2957189,2,30-06-16 22:37,1,-73.99427032,40.75080872,-73.98739624,40.75625992,N
id2015806,1,30-06-16 22:37,3,-74.00379181,40.71698761,-73.94303131,40.71687317,N
id0421433,2,30-06-16 22:37,1,-73.9754715,40.74899292,-73.99449921,40.7457428,N
id1760508,2,30-06-16 22:37,2,-73.98331451,40.76122665,-73.98986053,40.74888611,N
id2414773,1,30-06-16 22:36,1,-73.97379303,40.75172043,-73.97888184,40.7824173,N
id3365425,1,30-06-16 22:35,1,-73.98352051,40.73004913,-73.99465942,40.74205017,N
id1125828,2,30-06-16 22:35,5,-73.96089172,40.76094818,-73.97213745,40.74734879,N
id1593512,2,30-06-16 22:35,2,-73.97241974,40.75914001,-73.99265289,40.73971176,N
id2412190,1,30-06-16 22:33,1,-73.98974609,40.72311401,-73.9495697,40.74555206,N
id0644919,1,30-06-16 22:33,1,-73.98831177,40.72491074,-74.00511932,40.71939468,N
id1827002,2,30-06-16 22:33,2,-73.98641968,40.76161957,-73.97268677,40.79325867,N
id3975362,1,30-06-16 22:32,1,-73.98208618,40.73191833,-73.98487854,40.74604797,N
id1134963,2,30-06-16 22:32,5,-73.98233795,40.77151108,-73.96881104,40.7698288,N
id3928491,1,30-06-16 22:32,2,-73.98802948,40.73873901,-73.95397949,40.78440857,N
id1796952,2,30-06-16 22:31,2,-73.96814728,40.76543045,-73.97660828,40.75453186,N
id2437301,1,30-06-16 22:31,1,-73.92290497,40.77142715,-73.91628265,40.76231766,N
id2414272,1,30-06-16 22:31,2,-73.90763092,40.77070236,-73.90662384,40.75702667,N
id3487254,2,30-06-16 22:30,3,-73.98490906,40.74803543,-73.98583984,40.75981522,N
id1516431,1,30-06-16 22:30,1,-74.0068512,40.73006058,-74.00298309,40.73912048,N
id3636941,1,30-06-16 22:30,3,-73.98232269,40.7685585,-73.99089813,40.76071167,N
id0033058,1,30-06-16 22:30,1,-73.97662354,40.75926971,-73.97658539,40.7500267,N
id3650802,2,30-06-16 22:30,2,-73.97075653,40.75851822,-73.98001099,40.77035141,N
id1107166,2,30-06-16 22:29,1,-73.96581268,40.76551056,-73.99137878,40.74988937,N
id0352882,1,30-06-16 22:28,1,-73.98987579,40.76673889,-73.98254395,40.77677155,N
